Employee_Number,Age,Age_Group,Attrition,Business_Travel,Daily_Rate,Department,Distance_From_Home,Education,Education_Field,Environment_Satisfaction,Gender,Hourly_Rate,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Rate,Num_Companies_Worked,Over_Time,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Stock_Option_Level,Total_Working_Years,Training_Times_Last_Year,Work_Life_Balance,Years_At_Company,Years_Since_Last_Promotion,Years_With_Curr_Manager,Date_Birth,Remote_Work,Satisfaction_Group
162,51,46-55,False,Unknown,684,Research & Development,6,3,Unknown,1,M,51,3,5, Research Director ,3,Unknown,6462,7,False,0.13,3,3,0,11,5,3,20,15,15,1972,True,A
259,52,46-55,False,Unknown,699,Unknown,1,4,Life Sciences,3,M,65,2,5, Manager ,3,Unknown,5678,0,Unknown,0.14,3,1,1,34,5,3,33,11,9,1971,True,A
319,42,36-45,False,Travel Rarely,532,Research & Development,4,2,Technical Degree,3,M,58,3,5, Manager ,4,Married,4933,1,False,0.11,3,4,0,22,3,3,22,11,15,1981,True,A
2069,47,46-55,False,Travel Rarely,359,Research & Development,2,4,Medical,1,F,82,3,4, Research Director ,3,Married,26703,3,Unknown,0.19,3,2,2,11,2,3,20,5,6,1976,False,A
2070,46,46-55,False,Unknown,1319,Sales,3,3,Technical Degree,1,F,45,4,4, Sales Executive ,1,Divorced,7739,2,False,0.12,3,4,1,11,5,3,19,2,8,1977,False,B
1900,48,46-55,False,Unknown,117,Research & Development,22,3,Medical,4,F,58,3,4, Manager ,4,Unknown,2437,3,False,0.11,3,2,1,11,3,3,22,4,7,1975,True,A
81,59,56-65,False,Unknown,1435,Sales,25,3,Life Sciences,1,F,99,3,3, Sales Executive ,1,Unknown,2354,7,Unknown,0.11,3,4,0,28,3,2,21,7,9,1964,True,B
387,42,36-45,False,Travel Rarely,635,Sales,1,1,Unknown,2,M,99,3,2, Sales Executive ,3,Married,24532,1,False,0.25,4,3,0,20,3,3,20,11,6,1981,False,A
2071,41,36-45,False,Unknown,1276,Unknown,2,5,Unknown,2,F,91,3,4, Manager ,1,Married,5626,7,False,0.16,3,2,1,22,2,3,18,11,8,1982,True,B
999,41,36-45,False,Travel Frequently,840,Research & Development,9,3,Unknown,1,M,64,3,5, Research Director ,3,Unknown,3735,2,False,0.17,3,2,1,21,2,4,18,0,11,1982,False,A
1035,41,36-45,False,Non Travel,247,Research & Development,7,1,Unknown,2,F,55,1,5, Research Director ,3,Unknown,20284,1,False,0.22,4,2,2,11,3,3,21,5,10,1982,False,A
2072,56,56-65,False,Travel Rarely,1369,Research & Development,23,3,Life Sciences,4,M,68,3,4, Manufacturing Director ,2,Married,18235,4,True,0.12,3,1,1,33,0,3,19,15,9,1967,False,B
2073,38,36-45,False,Unknown,201,Research & Development,10,3,Medical,2,F,99,1,3, Research Director ,3,Married,3376,3,False,0.12,3,1,1,11,3,3,18,1,11,1985,True,A
58,41,36-45,True,Travel Rarely,1360,Research & Development,12,3,Unknown,2,F,49,3,5, Research Director ,3,Married,16280,1,False,0.12,3,4,0,11,0,3,22,15,8,1982,False,A
2074,55,46-55,False,Unknown,692,Research & Development,14,4,Medical,3,M,61,4,5, Research Director ,2,Single,13339,8,False,0.11,3,4,0,11,3,3,24,2,15,1968,True,B
558,40,36-45,False,Travel Rarely,1398,Unknown,2,4,Unknown,3,F,79,3,5, Manager ,3,Unknown,13022,0,False,0.14,3,4,0,11,2,3,20,1,12,1983,False,A
825,58,56-65,True,Travel Rarely,286,Research & Development,2,4,Unknown,4,M,31,3,5, Research Director ,2,Single,25761,7,True,0.12,3,4,0,40,2,3,31,13,8,1965,False,B
2075,46,46-55,False,Travel Rarely,1402,Unknown,2,3,Unknown,3,F,69,3,4, Manager ,1,Unknown,24097,8,Unknown,0.23,4,1,0,28,2,3,26,15,9,1977,False,B
2076,35,26-35,False,Unknown,819,Research & Development,13,5,Life Sciences,2,M,48,4,2, Research Scientist ,1,Married,26312,1,Unknown,0.11,3,4,0,11,2,3,16,1,10,1988,False,B
2077,40,36-45,False,Travel Rarely,884,Research & Development,15,3,Life Sciences,1,F,80,2,3, Manufacturing Director ,3,Unknown,25800,1,Unknown,0.13,3,4,2,18,2,3,18,14,12,1983,True,A
1712,45,36-45,False,Non Travel,1238,Research & Development,1,1,Unknown,3,M,74,2,3, Healthcare Representative ,3,Unknown,3395,3,Unknown,0.23,4,4,1,25,3,2,23,14,4,1978,False,A
