Employee_Number,Age,Age_Group,Attrition,Business_Travel,Daily_Rate,Department,Distance_From_Home,Education,Education_Field,Environment_Satisfaction,Gender,Hourly_Rate,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Income,Monthly_Rate,Num_Companies_Worked,Over_Time,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Satisfaction_Group,Stock_Option_Level,Total_Working_Years,Training_Times_Last_Year,Work_Life_Balance,Years_At_Company,Years_Since_Last_Promotion,Years_With_Curr_Manager,Date_Birth,Remote_Work
162,51,46-55,False,Unknown,684,Research & Development,6,3,Unknown,1,M,51,3,5, Research Director ,3,Unknown,19537,6462,7,False,13,3,3,Unknown,0,11,5,3,20,15,15,1972,True
259,52,46-55,False,Unknown,699,Unknown,1,4,Life Sciences,3,M,65,2,5, Manager ,3,Unknown,19999,5678,0,Unknown,14,3,1,Unknown,1,34,5,3,33,11,9,1971,True
319,42,36-45,False,Travel Rarely,532,Research & Development,4,2,Technical Degree,3,M,58,3,5, Manager ,4,Married,19232,4933,1,False,11,3,4,Unknown,0,22,3,3,22,11,15,1981,True
2069,47,46-55,False,Travel Rarely,359,Research & Development,2,4,Medical,1,F,82,3,4, Research Director ,3,Married,17169,26703,3,Unknown,19,3,2,Unknown,2,11,2,3,20,5,6,1976,False
2070,46,46-55,False,Unknown,1319,Sales,3,3,Technical Degree,1,F,45,4,4, Sales Executive ,1,Divorced,99999,7739,2,False,12,3,4,Unknown,1,11,5,3,19,2,8,1977,False
1900,48,46-55,False,Unknown,117,Research & Development,22,3,Medical,4,F,58,3,4, Manager ,4,Unknown,17174,2437,3,False,11,3,2,Unknown,1,11,3,3,22,4,7,1975,True
81,59,56-65,False,Unknown,1435,Sales,25,3,Life Sciences,1,F,99,3,3, Sales Executive ,1,Unknown,99999,2354,7,Unknown,11,3,4,Unknown,0,28,3,2,21,7,9,1964,True
387,42,36-45,False,Travel Rarely,635,Sales,1,1,Unknown,2,M,99,3,2, Sales Executive ,3,Married,99999,24532,1,False,25,4,3,Unknown,0,20,3,3,20,11,6,1981,False
2071,41,36-45,False,Unknown,1276,Unknown,2,5,Unknown,2,F,91,3,4, Manager ,1,Married,16595,5626,7,False,16,3,2,Unknown,1,22,2,3,18,11,8,1982,True
999,41,36-45,False,Travel Frequently,840,Research & Development,9,3,Unknown,1,M,64,3,5, Research Director ,3,Unknown,99999,3735,2,False,17,3,2,Unknown,1,21,2,4,18,0,11,1982,False
1035,41,36-45,False,Non Travel,247,Research & Development,7,1,Unknown,2,F,55,1,5, Research Director ,3,Unknown,19973,20284,1,False,22,4,2,Unknown,2,11,3,3,21,5,10,1982,False
2072,56,56-65,False,Travel Rarely,1369,Research & Development,23,3,Life Sciences,4,M,68,3,4, Manufacturing Director ,2,Married,13402,18235,4,True,12,3,1,Unknown,1,33,0,3,19,15,9,1967,False
2073,38,36-45,False,Unknown,201,Research & Development,10,3,Medical,2,F,99,1,3, Research Director ,3,Married,13206,3376,3,False,12,3,1,Unknown,1,11,3,3,18,1,11,1985,True
58,41,36-45,True,Travel Rarely,1360,Research & Development,12,3,Unknown,2,F,49,3,5, Research Director ,3,Married,19545,16280,1,False,12,3,4,Unknown,0,11,0,3,22,15,8,1982,False
2074,55,46-55,False,Unknown,692,Research & Development,14,4,Medical,3,M,61,4,5, Research Director ,2,Single,99999,13339,8,False,11,3,4,Unknown,0,11,3,3,24,2,15,1968,True
558,40,36-45,False,Travel Rarely,1398,Unknown,2,4,Unknown,3,F,79,3,5, Manager ,3,Unknown,18041,13022,0,False,14,3,4,Unknown,0,11,2,3,20,1,12,1983,False
825,58,56-65,True,Travel Rarely,286,Research & Development,2,4,Unknown,4,M,31,3,5, Research Director ,2,Single,19246,25761,7,True,12,3,4,Unknown,0,40,2,3,31,13,8,1965,False
2075,46,46-55,False,Travel Rarely,1402,Unknown,2,3,Unknown,3,F,69,3,4, Manager ,1,Unknown,99999,24097,8,Unknown,23,4,1,Unknown,0,28,2,3,26,15,9,1977,False
2076,35,26-35,False,Unknown,819,Research & Development,13,5,Life Sciences,2,M,48,4,2, Research Scientist ,1,Married,99999,26312,1,Unknown,11,3,4,Unknown,0,11,2,3,16,1,10,1988,False
2077,40,36-45,False,Travel Rarely,884,Research & Development,15,3,Life Sciences,1,F,80,2,3, Manufacturing Director ,3,Unknown,99999,25800,1,Unknown,13,3,4,Unknown,2,18,2,3,18,14,12,1983,True
1712,45,36-45,False,Non Travel,1238,Research & Development,1,1,Unknown,3,M,74,2,3, Healthcare Representative ,3,Unknown,10748,3395,3,Unknown,23,4,4,Unknown,1,25,3,2,23,14,4,1978,False
73,33,26-35,False,Unknown,515,Research & Development,1,2,Life Sciences,1,F,98,3,3, Research Director ,4,Single,99999,15146,1,True,12,3,3,Unknown,0,15,1,3,15,8,12,1990,True
2078,36,36-45,False,Unknown,1223,Research & Development,8,3,Unknown,3,F,59,3,3, Healthcare Representative ,3,Divorced,99999,8202,1,Unknown,13,3,2,Unknown,3,17,2,3,17,12,8,1987,True
820,47,46-55,False,Unknown,202,Unknown,2,2,Other,3,F,33,3,4, Manager ,4,Married,16752,12982,1,Unknown,11,3,3,Unknown,1,11,3,2,26,3,0,1976,False
2079,36,36-45,False,Travel Rarely,928,Sales,42,2,Life Sciences,4,M,56,3,2, Sales Executive ,4,Unknown,6201,2823,1,Unknown,14,3,4,Unknown,1,18,1,3,18,4,11,1987,True
2080,35,26-35,False,Unknown,607,Research & Development,9,3,Life Sciences,4,F,66,2,3, Manufacturing Director ,3,Married,99999,23457,1,True,20,4,2,Unknown,1,17,2,3,17,5,15,1988,False
2081,52,46-55,True,Unknown,266,Unknown,2,1,Unknown,1,F,57,1,5, Manager ,4,Married,19845,25846,1,False,15,3,4,Unknown,1,33,3,3,32,6,9,1971,True
1294,36,36-45,False,Unknown,429,Research & Development,2,4,Life Sciences,3,F,53,3,2, Manufacturing Director ,2,Single,99999,2323,9,True,11,3,4,Unknown,0,18,2,3,16,5,12,1987,False
2082,33,26-35,False,Travel Rarely,589,Research & Development,28,4,Life Sciences,2,M,79,3,2, Laboratory Technician ,3,Married,99999,22949,1,Unknown,12,3,2,Unknown,1,15,3,3,15,5,7,1990,True
