Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,employeecount,employeenumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NUMCOMPANIESWORKED,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TOTALWORKINGYEARS,TrainingTimesLastYear,WORKLIFEBALANCE,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YEARSWITHCURRMANAGER,SameAsMonthlyIncome,DateBirth,Salary,RoleDepartament,NUMBERCHILDREN,RemoteWork
51,No,,"684,0$",,6,3,,1,"162,0",1,0,51,3,5, resEArch DIREcToR ,3,,"19537,0",6462,7,Y,No,13,"3,0",3,,0,,5,"3,0",20,,15,15,"19537,0",1972,1000000000$,,,Yes
52,No,,"699,0$",,1,4,Life Sciences,1,"259,0",3,0,65,2,5, ManAGeR ,3,,"19999,0",5678,0,,,14,"3,0",1,,1,"34,0",5,"3,0",33,,11,9,"19999,0",1971,1000000000$,,,1
42,No,travel_rarely,"532,0$", Research & Development ,4,2,Technical Degree,1,"319,0",3,0,58,3,5, ManaGER ,4,Married,"19232,0",4933,1,,No,11,"3,0",4,,0,"22,0",3,,22,,11,15,"19232,0",1981,1000000000$, ManaGER  -  Research & Development ,,1
48,No,,"117,0$", Research & Development ,22,3,Medical,1,"1900,0",4,1,58,3,4, MANAger ,4,,"17174,0",2437,3,,No,11,"3,0",2,,1,,3,"3,0",22,,4,7,"17174,0",1975,1000000000$, MANAger  -  Research & Development ,,Yes
59,No,,"1435,0$",,25,3,Life Sciences,1,"81,0",1,1,99,3,3, Sales ExeCutIVe ,1,,,2354,7,Y,,11,"3,0",4,,0,"28,0",3,"2,0",21,,7,9,,1964,1000000000$,,,True
42,No,travel_rarely,"635,0$",,1,1,,1,"387,0",2,0,99,3,2, Sales eXEcUTiVe ,3,Married,,24532,1,,No,25,"4,0",3,,0,"20,0",3,"3,0",20,,11,6,,1981,1000000000$,,,0
41,No,travel_frequently,"840,0$",,9,3,,1,"999,0",1,0,64,3,5, reSEaRCH DIrectoR ,3,,,3735,2,,No,17,"3,0",2,,1,"21,0",2,"4,0",18,,0,11,,1982,1000000000$,,,0
41,No,non-travel,"247,0$",,7,1,,1,"1035,0",2,1,55,1,5, RESeArcH DIrEctoR ,3,,"19973,0",20284,1,Y,No,22,"4,0",2,,2,,3,"3,0",21,,5,10,"19973,0",1982,1000000000$,,,0
41,Yes,travel_rarely,"1360,0$",,12,3,,1,"58,0",2,1,49,3,5, reseARCh DIrEctoR ,3,Married,"19545,0",16280,1,,No,12,"3,0",4,,0,,0,"3,0",22,,15,8,"19545,0",1982,1000000000$,,,False
40,No,travel_rarely,"1398,0$",,2,4,,1,"558,0",3,1,79,3,5, MAnAgeR ,3,,"18041,0",13022,0,,No,14,"3,0",4,,0,,2,"3,0",20,,1,12,"18041,0",1983,1000000000$,,,0
